time,open,high,low,close,volume
2024-11-08 00:27:00+00:00,210.2599,210.2599,210.2599,210.2599,1845
2024-11-08 00:28:00+00:00,210.26,210.26,210.26,210.26,285
2024-11-08 00:30:00+00:00,210.2598,210.2598,210.2598,210.2598,377
2024-11-08 00:31:00+00:00,210.2,210.2,210.2,210.2,544
2024-11-08 00:35:00+00:00,210.2492,210.2492,210.16,210.16,621
2024-11-08 00:36:00+00:00,210.2527,210.2527,210.13,210.13,1507
2024-11-08 00:38:00+00:00,210.18,210.18,210.18,210.18,279
2024-11-08 00:39:00+00:00,210.22,210.22,210.22,210.22,129
2024-11-08 00:40:00+00:00,210.24,210.26,210.24,210.25,1144
2024-11-08 00:41:00+00:00,210.26,210.26,210.25,210.25,631
2024-11-08 00:42:00+00:00,210.2435,210.26,210.2435,210.26,1020
2024-11-08 00:43:00+00:00,210.26,210.26,210.26,210.26,1831
2024-11-08 00:45:00+00:00,210.2699,210.27,210.2699,210.27,1126
2024-11-08 00:46:00+00:00,210.27,210.27,210.27,210.27,641
2024-11-08 00:47:00+00:00,210.2064,210.2064,210.2064,210.2064,220
2024-11-08 00:50:00+00:00,210.2,210.2,210.2,210.2,813
2024-11-08 00:51:00+00:00,210.2,210.2,210.2,210.2,333
2024-11-08 00:52:00+00:00,210.22,210.22,210.22,210.22,145
2024-11-08 00:53:00+00:00,210.2,210.2,210.2,210.2,383
2024-11-08 00:54:00+00:00,210.25,210.25,210.25,210.25,155
2024-11-08 00:55:00+00:00,210.25,210.27,210.24,210.27,1315
2024-11-08 00:56:00+00:00,210.2,210.21,210.2,210.21,514
2024-11-08 00:57:00+00:00,210.23,210.23,210.23,210.23,563
2024-11-08 00:58:00+00:00,210.23,210.23,210.23,210.23,206
2024-11-08 00:59:00+00:00,210.27,210.27,210.27,210.27,544
2024-11-08 09:00:00+00:00,210.55,210.55,210.27,210.42,1213
2024-11-08 09:05:00+00:00,210.4,210.4,210.4,210.4,337
2024-11-08 09:06:00+00:00,210.4,210.4,210.4,210.4,597
2024-11-08 09:07:00+00:00,210.4,210.4,210.4,210.4,1457
2024-11-08 09:22:00+00:00,210.66,210.66,210.66,210.66,292
2024-11-08 09:23:00+00:00,210.66,210.66,210.66,210.66,578
2024-11-08 09:24:00+00:00,210.62,210.62,210.62,210.62,331
2024-11-08 09:35:00+00:00,210.62,210.62,210.62,210.62,455
2024-11-08 09:36:00+00:00,210.57,210.57,210.57,210.57,131
2024-11-08 09:37:00+00:00,210.57,210.57,210.57,210.57,290
2024-11-08 09:38:00+00:00,210.56,210.56,210.5,210.5,2235
2024-11-08 09:40:00+00:00,210.5,210.5,210.5,210.5,105
2024-11-08 09:41:00+00:00,210.5,210.5,210.5,210.5,422
2024-11-08 09:42:00+00:00,210.57,210.57,210.57,210.57,110
2024-11-08 09:43:00+00:00,210.57,210.63,210.57,210.63,1673
2024-11-08 09:45:00+00:00,210.61,210.61,210.61,210.61,126
2024-11-08 09:46:00+00:00,210.5,210.5,210.5,210.5,728
2024-11-08 09:47:00+00:00,210.52,210.52,210.52,210.52,377
2024-11-08 09:56:00+00:00,210.45,210.45,210.4,210.4,1487
2024-11-08 10:01:00+00:00,210.39,210.39,210.36,210.36,358
2024-11-08 10:02:00+00:00,210.3,210.3,210.3,210.3,471
2024-11-08 10:04:00+00:00,210.23,210.29,210.23,210.29,524
2024-11-08 10:13:00+00:00,210.24,210.24,210.15,210.15,2697
2024-11-08 10:14:00+00:00,210.14,210.14,210.1,210.1,730
2024-11-08 10:16:00+00:00,210.04,210.1,210.04,210.1,1475
2024-11-08 10:18:00+00:00,210.18,210.19,210.1,210.1,2345
2024-11-08 10:20:00+00:00,210.2,210.2,210.2,210.2,242
2024-11-08 10:22:00+00:00,210.02,210.06,210.02,210.04,1158
2024-11-08 10:24:00+00:00,210.0,210.0,209.9,209.9,1929
2024-11-08 10:26:00+00:00,210.02,210.03,210.02,210.03,629
2024-11-08 10:27:00+00:00,210.11,210.21,210.0,210.21,4478
