time,open,high,low,close,volume
2023-11-13 09:00:00+00:00,185.35,185.7,185.35,185.61,21025
2023-11-13 10:00:00+00:00,185.6,185.75,185.55,185.75,11891
2023-11-13 11:00:00+00:00,185.74,185.75,185.47,185.7,21051
2023-11-13 12:00:00+00:00,185.7,186.4,185.7,186.13,152667
2023-11-13 13:00:00+00:00,185.7519,186.39,185.03,185.69,187845
2023-11-13 14:00:00+00:00,185.7,186.03,184.27,184.6,6825427
2023-11-13 15:00:00+00:00,184.6,184.97,184.21,184.645,6874614
2023-11-13 16:00:00+00:00,184.64,185.14,184.64,184.79,4990265
2023-11-13 17:00:00+00:00,184.79,184.9,184.39,184.82,4264839
2023-11-13 18:00:00+00:00,184.82,184.99,184.46,184.7228,2841196
2023-11-13 19:00:00+00:00,184.7275,185.01,184.6,184.95,2903676
2023-11-13 20:00:00+00:00,184.94,185.08,184.6105,184.77,6751762
2023-11-13 21:00:00+00:00,184.77,184.84,184.6,184.72,7688318
2023-11-13 22:00:00+00:00,184.69,184.79,184.69,184.77,17504
2023-11-13 23:00:00+00:00,184.71,184.95,184.71,184.8999,20039
2023-11-14 00:00:00+00:00,184.83,185.02,184.83,185.02,19329
2023-11-14 09:00:00+00:00,184.99,185.47,184.99,185.15,13632
2023-11-14 10:00:00+00:00,185.12,185.28,185.0,185.0,16663
2023-11-14 11:00:00+00:00,185.05,185.07,185.0,185.05,3014
2023-11-14 12:00:00+00:00,185.15,185.2,185.0,185.05,25410
2023-11-14 13:00:00+00:00,185.06,188.1,184.97,187.8,3212375
2023-11-14 14:00:00+00:00,187.75,187.96,186.3,187.26,9327888
2023-11-14 15:00:00+00:00,187.265,187.52,186.85,187.025,7207202
2023-11-14 16:00:00+00:00,187.03,187.16,186.41,186.66,4774016
2023-11-14 17:00:00+00:00,186.66,187.46,186.61,187.4301,4269147
2023-11-14 18:00:00+00:00,187.44,187.5,187.11,187.1901,3958982
2023-11-14 19:00:00+00:00,187.2,187.99,186.82,187.905,6121336
2023-11-14 20:00:00+00:00,187.9,188.11,187.21,187.44,10607065
2023-11-14 21:00:00+00:00,187.44,187.57,187.13,187.2,10251175
