time,open,high,low,close,volume,hour,close_change,SMA,EMA,RSI,MACD,Signal Line,Upper Band,Lower Band,Stochastic,ATR,VWAP
2020-01-01 00:00:00+00:00,235.6,235.75,235.58,235.58,4179,0,0.0,0.0,235.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.58
2020-01-02 09:00:00+00:00,237.05,238.97,237.05,238.6,2035,9,3.019999999999982,0.0,235.67901639344262,100.0,0.2409116809116938,0.04818233618233876,0.0,0.0,0.0,0.0,236.56900869005472
2020-01-02 10:00:00+00:00,238.6,238.99,238.53,238.84,1166,10,0.2400000000000091,0.0,235.78265520021498,100.0,0.4460600157466388,0.12775787209519876,0.0,0.0,0.0,0.0,236.92781300813007
2020-01-02 11:00:00+00:00,238.99,239.05,238.79,238.79,1241,11,-0.05000000000001137,0.0,235.88125666906038,98.48942598187277,0.5977168590988242,0.22174966949592387,0.0,0.0,0.0,0.0,237.19587634845143
2020-01-02 12:00:00+00:00,238.36,238.97,238.01,238.9,19094,12,0.11000000000001364,0.0,235.98023186023872,98.5380116959061,0.7184996639007011,0.3210996683768793,0.0,0.0,0.0,0.0,238.36991701244813
2020-01-02 13:00:00+00:00,238.87,239.55,238.03,239.27,48827,13,0.37000000000000455,0.0,236.0880931107227,98.68073878627939,0.8344577056810749,0.42377127583771845,0.0,0.0,0.0,0.0,238.94409004206838
2020-01-02 14:00:00+00:00,239.2424,239.35,236.89,239.0,1237771,14,-0.27000000000001023,0.0,236.18356546774817,92.11822660098476,0.8942600722533882,0.5178690351208525,0.0,0.0,0.0,0.0,238.99674395672875
2020-01-02 15:00:00+00:00,239.0,239.0411,237.2601,237.81,1066483,15,-1.1899999999999977,0.0,236.23689119011706,71.23809523809503,0.8359940053541663,0.5814940291675152,0.0,0.0,0.0,0.0,238.4651392937488
2020-01-02 16:00:00+00:00,237.8,238.2301,236.72,238.15,743368,16,0.3400000000000034,0.0,236.2996160691296,72.98747763864024,0.8079394628507259,0.6267831159041574,0.0,0.0,0.0,0.0,238.39015460455983
2020-01-02 17:00:00+00:00,238.13,239.25,237.76,239.0386,546594,17,0.8885999999999967,0.0,236.3894188209614,76.69249529219256,0.8476375909423268,0.6709540109117913,0.0,0.0,0.0,0.0,238.48671132730624
2020-01-02 18:00:00+00:00,239.0429,239.37,238.47,239.32,433222,18,0.28139999999999077,0.0,236.48550344978233,77.66272189349091,0.8915282885532179,0.7150688664400766,0.0,0.0,0.0,0.0,238.57467447170794
2020-01-02 19:00:00+00:00,239.33,239.88,239.2936,239.475,609692,19,0.15500000000000114,0.0,236.58351973011733,78.16341287057101,0.928120393079638,0.7576791717679889,0.0,0.0,0.0,0.0,238.69112747734675
2020-01-02 20:00:00+00:00,239.5,239.91,239.155,239.86,846577,20,0.3850000000000193,0.0,236.69094531273643,79.31506849315053,0.9769248009783666,0.8015282976100645,0.0,0.0,0.0,0.0,238.86909443415215
2020-01-02 21:00:00+00:00,239.91,240.11,239.55,240.08,693667,21,0.21999999999999886,0.0,236.80206185985983,79.92021276595729,1.0215786840787473,0.8455383749038011,0.0,0.0,99.33774834437084,1.2001785714285742,239.00340471768408
2020-01-02 22:00:00+00:00,240.01,240.11,239.9101,240.08,6400,22,0.0,0.0,236.90953524150376,79.92021276595729,1.0449219978003725,0.8854150994831155,0.0,0.0,99.11504424778758,1.2023142857142903,239.00450533461887
2020-01-02 23:00:00+00:00,240.0,240.09,240.0,240.03,5988,23,-0.05000000000001137,0.0,237.01184556145444,65.71428571428555,1.0473143718238873,0.9177949539512699,0.0,0.0,97.64011799409994,0.9666000000000058,239.0054852842122
2020-01-03 00:00:00+00:00,240.02,240.4,240.0,240.05,5121,0,0.020000000000010232,0.0,237.11145718239035,63.972286374133816,1.0388489740152522,0.9420057579640664,0.0,0.0,90.48913043478278,0.9623142857142913,239.00633819401492
2020-01-03 09:00:00+00:00,236.5,236.57,233.0,234.01,4967,9,-6.0400000000000205,0.0,237.00977006165624,26.841085271317993,0.5385544432647009,0.8613154950241934,0.0,0.0,13.648648648648514,1.4473142857142907,239.00238420073188
2020-01-03 10:00:00+00:00,234.78,234.95,232.16,232.16,3972,10,-1.8499999999999943,0.0,236.8507612071757,22.056384742952005,-0.007129926334869197,0.6876264107523808,0.0,0.0,0.0,1.5780285714285753,238.9980567525067
2020-01-03 11:00:00+00:00,232.44,233.4,232.22,233.08,9703,11,0.9200000000000159,0.0,236.72712969218634,25.455987311657566,-0.36118884922532857,0.477863358756839,4.82246346987883,-4.82246346987883,11.165048543689501,1.5580285714285753,238.9889276121224
2020-01-03 12:00:00+00:00,233.1,235.54,233.01,235.05,31668,12,1.9699999999999989,0.0,236.6721418334261,36.19846261355705,-0.4773183318406211,0.286827020637347,4.886314657166695,-4.886314657166695,35.07281553398072,1.5630285714285748,238.96919601001943
2020-01-03 13:00:00+00:00,233.7,237.4,233.2,235.7,56156,13,0.6499999999999773,0.0,236.64026833069082,42.33841684822074,-0.5110115922162493,0.12725929806662775,4.992267302897444,-4.992267302897444,42.96116504854354,1.7358142857142898,238.9404114210168
2020-01-03 14:00:00+00:00,235.72,237.5,234.1,236.6285,1239055,14,0.9285000000000139,0.0,236.6398824837829,44.70174461120591,-0.45751757579014907,0.010303923295272388,5.005784994215768,-5.005784994215768,54.229368932038845,1.8708071428571478,238.56433084938507
