time,open,high,low,close,volume
2023-01-04 11:15:00+00:00,86.79,86.84,86.75,86.84,5750
2023-01-04 11:30:00+00:00,86.84,86.84,86.72,86.75,31347
2023-01-04 11:45:00+00:00,86.83,86.86,86.8,86.8,10039
2023-01-04 12:00:00+00:00,86.8,86.85,86.55,86.75,40774
2023-01-04 12:15:00+00:00,86.75,86.76,86.58,86.67,19991
2023-01-04 12:30:00+00:00,86.7,86.75,86.5,86.68,28242
2023-01-04 12:45:00+00:00,86.67,86.68,86.16,86.5,64665
2023-01-04 13:00:00+00:00,86.75,86.8,85.606,86.54,241194
2023-01-04 13:15:00+00:00,86.5809,86.98,86.5185,86.8,109560
2023-01-04 13:30:00+00:00,86.85,86.9,86.32,86.32,139244
2023-01-04 13:45:00+00:00,86.32,86.5,86.0,86.19,151820
2023-01-04 14:00:00+00:00,86.2,86.25,85.9,85.95,173570
2023-01-04 14:15:00+00:00,85.95,86.61,85.9,86.5,182121
2023-01-04 14:30:00+00:00,86.51,86.98,84.2044,84.2978,7405453
2023-01-04 14:45:00+00:00,84.3,85.2094,84.23,84.67,3689240
2023-01-04 15:00:00+00:00,84.65,84.96,83.36,83.8814,4844391
2023-01-04 15:15:00+00:00,83.887,84.23,83.65,84.09,2629237
2023-01-04 15:30:00+00:00,84.0804,84.6,83.78,84.5573,2169389
2023-01-04 15:45:00+00:00,84.55,84.87,84.55,84.84,2266541
2023-01-04 16:00:00+00:00,84.84,85.34,84.75,85.1901,2022228
2023-01-04 16:15:00+00:00,85.2,85.32,84.82,85.195,2172859
2023-01-04 16:30:00+00:00,85.19,86.04,85.19,85.96,2483962
2023-01-04 16:45:00+00:00,85.9507,86.0993,85.7945,85.8203,1898512
2023-01-04 17:00:00+00:00,85.83,85.89,85.52,85.54,1372024
2023-01-04 17:15:00+00:00,85.55,85.9025,85.5237,85.775,1127635
2023-01-04 17:30:00+00:00,85.78,86.055,85.7,86.03,1082970
2023-01-04 17:45:00+00:00,86.02,86.09,85.39,85.395,1365724
2023-01-04 18:00:00+00:00,85.4,85.54,85.12,85.52,1079445
2023-01-04 18:15:00+00:00,85.52,85.99,85.5,85.9099,1090226
2023-01-04 18:30:00+00:00,85.905,86.29,85.905,86.28,1329332
2023-01-04 18:45:00+00:00,86.275,86.2886,85.81,85.8343,1230368
