time,open,high,low,close,volume,hour,close_pct_change,SMA,EMA,RSI,MACD,Signal Line,Upper Band,Lower Band,Stochastic,ATR
2020-01-01 00:00:00+00:00,293.77,293.83,293.1,293.68,34033,0,0.006980386815581552,0.0,293.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 09:00:00+00:00,295.05,295.75,295.05,295.73,26138,9,0.0009129949616202282,0.0,293.81225806451613,100.0,0.16353276353277124,0.03270655270655425,0.0,0.0,0.0,0.0
2020-01-02 10:00:00+00:00,295.75,296.05,295.75,296.0,15543,10,-0.0016554054054054301,0.0,293.9534027055151,100.0,0.31133156386715655,0.08843155493867472,0.0,0.0,0.0,0.0
2020-01-02 11:00:00+00:00,295.75,295.85,295.3,295.51,14890,11,0.0019965483401578332,0.0,294.0538283374174,82.56227758007086,0.3844920876178435,0.14764366147450847,0.0,0.0,0.0,0.0
2020-01-02 12:00:00+00:00,295.5,296.18,295.13,296.1,134301,12,0.0019598108747043153,0.0,294.1858394124227,85.58823529411752,0.48449543713627463,0.21501401660686173,0.0,0.0,0.0,0.0
2020-01-02 13:00:00+00:00,295.8898,296.75,295.435,296.6803,215866,13,0.004347103599396496,0.0,294.34677235355673,87.68937014797856,0.6036160621192721,0.2927344257093438,0.0,0.0,0.0,0.0
2020-01-02 14:00:00+00:00,296.69,298.15,295.19,297.97,6409874,14,0.00046984595764665293,0.0,294.58052897590795,90.70208728652742,0.792947422865268,0.3927770251405287,0.0,0.0,0.0,0.0
2020-01-02 15:00:00+00:00,297.99,298.41,296.595,298.11,5958547,15,0.0010063399416322394,0.0,294.8082367839139,90.94269870609969,0.9434156123629123,0.5029047425850054,0.0,0.0,0.0,0.0
2020-01-02 16:00:00+00:00,298.13,298.75,297.45,298.41,4225029,16,0.0009741630642403631,0.0,295.04060860430656,91.4185639229421,1.0744842438797377,0.617220642843952,0.0,0.0,0.0,0.0
2020-01-02 17:00:00+00:00,298.41,298.8,298.05,298.7007,2532722,17,-0.0008727800102242833,0.0,295.276743533061,91.83428599996651,1.1881182515481328,0.7314001645847882,0.0,0.0,0.0,0.0
