time,open,high,low,close,volume
2024-11-08 00:42:00+00:00,425.68,425.68,425.68,425.68,414
2024-11-08 00:48:00+00:00,425.8,425.8,425.8,425.8,621
2024-11-08 00:50:00+00:00,425.68,425.68,425.68,425.68,387
2024-11-08 00:51:00+00:00,425.61,425.61,425.61,425.61,396
2024-11-08 00:52:00+00:00,425.56,425.57,425.56,425.57,814
2024-11-08 00:53:00+00:00,425.58,425.58,425.58,425.58,305
2024-11-08 00:56:00+00:00,425.6501,425.6501,425.6501,425.6501,156
2024-11-08 09:00:00+00:00,425.97,427.0,425.97,427.0,1201
2024-11-08 09:06:00+00:00,426.0,426.0,426.0,426.0,383
2024-11-08 09:08:00+00:00,426.0,426.0,426.0,426.0,577
2024-11-08 09:17:00+00:00,426.1,426.1,426.1,426.1,764
2024-11-08 09:20:00+00:00,426.21,426.21,426.21,426.21,416
2024-11-08 09:26:00+00:00,426.12,426.12,426.12,426.12,380
2024-11-08 09:37:00+00:00,426.23,426.23,426.23,426.23,363
2024-11-08 09:42:00+00:00,426.24,426.24,426.24,426.24,242
2024-11-08 09:44:00+00:00,426.07,426.07,426.07,426.07,722
2024-11-08 09:46:00+00:00,426.12,426.12,426.12,426.12,412
2024-11-08 09:47:00+00:00,426.02,426.02,426.02,426.02,1009
2024-11-08 09:48:00+00:00,426.02,426.02,426.02,426.02,268
2024-11-08 10:00:00+00:00,425.73,425.73,425.73,425.73,347
2024-11-08 10:07:00+00:00,425.64,425.64,425.54,425.54,535
2024-11-08 10:13:00+00:00,425.6,425.6,425.6,425.6,232
2024-11-08 10:20:00+00:00,425.53,425.53,425.53,425.53,690
2024-11-08 10:28:00+00:00,425.08,425.08,425.0,425.0,1393
2024-11-08 10:30:00+00:00,424.8,424.8,424.8,424.8,345
2024-11-08 10:34:00+00:00,424.57,424.6,424.5,424.5,1004
2024-11-08 10:35:00+00:00,424.48,424.48,424.48,424.48,407
2024-11-08 10:36:00+00:00,424.2,424.31,424.2,424.31,1320
2024-11-08 10:45:00+00:00,423.55,423.55,423.53,423.53,649
2024-11-08 10:47:00+00:00,423.47,423.47,423.47,423.47,374
2024-11-08 10:50:00+00:00,423.56,423.56,423.56,423.56,363
2024-11-08 10:53:00+00:00,423.52,423.52,423.52,423.52,814
2024-11-08 10:58:00+00:00,423.8,423.8,423.8,423.8,1182
2024-11-08 11:02:00+00:00,423.45,423.45,423.45,423.45,1150
2024-11-08 11:04:00+00:00,423.2,423.23,423.13,423.23,3148
2024-11-08 11:07:00+00:00,423.23,423.23,423.23,423.23,674
2024-11-08 11:08:00+00:00,423.33,423.33,423.33,423.33,752
2024-11-08 11:09:00+00:00,423.31,423.31,423.28,423.28,795
2024-11-08 11:11:00+00:00,423.31,423.31,423.31,423.31,233
2024-11-08 11:12:00+00:00,423.31,423.31,423.31,423.31,369
2024-11-08 11:17:00+00:00,423.51,423.59,423.51,423.52,1931
2024-11-08 11:22:00+00:00,423.5,423.5,423.5,423.5,257
2024-11-08 11:23:00+00:00,423.6,423.6,423.59,423.59,421
2024-11-08 11:24:00+00:00,423.39,423.39,423.39,423.39,682
2024-11-08 11:25:00+00:00,423.28,423.28,423.28,423.28,452
2024-11-08 11:26:00+00:00,423.05,423.05,423.05,423.05,829
2024-11-08 11:31:00+00:00,423.5,423.6,423.5,423.6,887
