time,open,high,low,close,volume,hour,close_change,SMA,EMA,RSI,MACD,Signal Line,Upper Band,Lower Band,Stochastic,ATR,VWAP
2020-01-03 17:00:00+00:00,20.475,20.475,20.475,20.475,483,17,0.0,0.0,20.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.475
2020-01-06 16:00:00+00:00,20.4695,20.4695,20.4695,20.4695,350,16,-0.005500000000001393,0.0,20.474819672131147,0.0,-0.0004387464387463069,-8.774928774926139e-05,0.0,0.0,0.0,0.0,20.472689075630253
2020-01-06 20:00:00+00:00,20.4895,20.5,20.4895,20.5,2584,20,0.03049999999999997,0.0,20.475645256651436,84.72222222221893,0.0016555547438734664,0.0002609115185752842,0.0,0.0,0.0,0.0,20.493342112964587
2020-01-08 17:00:00+00:00,20.76,20.7602,20.76,20.7602,220,17,0.2602000000000011,0.0,20.484974920367783,98.1431465226194,0.024034217439730554,0.0050155727028063386,0.0,0.0,0.0,0.0,20.509484190266704
2020-01-08 20:00:00+00:00,20.87,20.875,20.84,20.85,213645,20,0.08980000000000032,0.0,20.49694295576556,98.5751295336784,0.04845699627620448,0.013703857417485968,0.0,0.0,0.0,0.0,20.84430023655894
2020-01-09 15:00:00+00:00,20.9213,20.9213,20.9213,20.9213,135,15,0.07129999999999725,0.0,20.510856301478164,98.79728843210115,0.07272718486573382,0.02550852290713554,0.0,0.0,0.0,0.0,20.844348047760754
2020-01-09 17:00:00+00:00,20.94,20.94,20.93,20.93,1200,17,0.00870000000000104,0.0,20.524598717823142,98.81974248927008,0.09160750715250643,0.03872831975620972,0.0,0.0,0.0,0.0,20.84481819574873
2020-01-09 18:00:00+00:00,20.881,20.9199,20.881,20.9199,3508,18,-0.01010000000000133,0.0,20.537559415599432,96.72337744171337,0.10455012424723975,0.051892680654415727,0.0,0.0,0.0,0.0,20.8460039558807
2020-01-09 19:00:00+00:00,20.9306,20.9306,20.9306,20.9306,253,19,0.010699999999999932,0.0,20.550445992137156,96.79539852095262,0.11435245816195305,0.0643846361559232,0.0,0.0,0.0,0.0,20.846100201009094
2020-01-09 20:00:00+00:00,20.9599,20.9599,20.9297,20.93,39458,20,-0.0005999999999986017,0.0,20.562890385837576,96.67624128026236,0.12068132424143485,0.07564397377302554,0.0,0.0,0.0,0.0,20.8587436811592
