,Action,Portfolio,Price,Timestamp
67,Sell,10074.947021640308,189.99999969225524,2024-05-16 13:00:00+00:00
68,Buy,10074.947021640308,190.49989993836283,2024-05-16 14:00:00+00:00
69,Buy,10074.122522374846,190.3350000852704,2024-05-16 15:00:00+00:00
70,Buy,10071.274920814874,190.0185999119401,2024-05-16 16:00:00+00:00
71,Buy,10075.310128129633,190.3290004746139,2024-05-16 17:00:00+00:00
72,Buy,10073.086117343864,190.18999980050324,2024-05-16 18:00:00+00:00
73,Sell,10068.336126709315,189.94000029342175,2024-05-16 19:00:00+00:00
74,Buy,10068.336126709315,189.91000004529357,2024-05-16 20:00:00+00:00
75,Sell,10067.486128824208,189.74000046827197,2024-05-16 21:00:00+00:00
76,Buy,10067.486128824208,189.78000043330192,2024-05-16 22:00:00+00:00
77,Sell,10068.275126460856,189.93779996063114,2024-05-16 23:00:00+00:00
78,Buy,10068.275126460856,189.99999969225524,2024-05-17 08:00:00+00:00
79,Sell,10066.175125553225,189.57999951072932,2024-05-17 09:00:00+00:00
80,Buy,10066.175125553225,189.75000018517375,2024-05-17 10:00:00+00:00
81,Buy,10066.025124312584,189.71999993704557,2024-05-17 11:00:00+00:00
82,Buy,10066.925128464161,189.82000039833187,2024-05-17 12:00:00+00:00
83,Buy,10068.71002415741,189.9573000670433,2024-05-17 13:00:00+00:00
84,Buy,10076.235930497294,190.40000043997765,2024-05-17 14:00:00+00:00
85,Sell,10067.535913411266,189.9649995856762,2024-05-17 15:00:00+00:00
86,Buy,10067.535913411266,189.57999951072932,2024-05-17 16:00:00+00:00
87,Buy,10069.380417820817,189.94890039263964,2024-05-17 17:00:00+00:00
88,Buy,10068.130310543127,189.80999958400727,2024-05-17 18:00:00+00:00
89,Sell,10070.259713603438,189.9737998194158,2024-05-17 19:00:00+00:00
90,Buy,10070.259713603438,188.66000031504035,2024-05-20 10:00:00+00:00
91,Sell,10070.559710597605,188.71999971387388,2024-05-20 11:00:00+00:00
92,Buy,10070.559710597605,189.02000000030995,2024-05-20 12:00:00+00:00
93,Sell,10071.759709548503,189.25999979048967,2024-05-20 13:00:00+00:00
94,Buy,10071.759709548503,191.27499981218577,2024-05-20 16:00:00+00:00
95,Sell,10073.459710805833,191.6150000636518,2024-05-20 17:00:00+00:00
