,Action,Portfolio,Price,Timestamp
0,Buy,10000.0,216.6,2024-09-17 22:00:00+00:00
1,Sell,10012.026777469991,219.205,2024-09-18 13:00:00+00:00
2,Sell,10012.02677746999,219.205,2024-09-18 13:00:00+00:00
3,Sell,10019.905587803301,220.93,2024-09-18 14:00:00+00:00
4,Buy,10019.905587803301,220.93,2024-09-18 14:00:00+00:00
5,Sell,10013.925754590286,219.6115,2024-09-18 15:00:00+00:00
6,Sell,10013.925754590286,219.6115,2024-09-18 15:00:00+00:00
7,Sell,10021.556641292624,221.285,2024-09-18 16:00:00+00:00
8,Buy,10021.556641292624,221.285,2024-09-18 16:00:00+00:00
9,Sell,10018.82396294689,220.6816,2024-09-18 17:00:00+00:00
10,Sell,10018.823962946888,220.6816,2024-09-18 17:00:00+00:00
11,Sell,10015.9569874797,220.0501,2024-09-18 18:00:00+00:00
12,Buy,10015.9569874797,220.0501,2024-09-18 18:00:00+00:00
13,Sell,10018.86960186901,220.69,2024-09-18 19:00:00+00:00
14,Sell,10018.86960186901,220.69,2024-09-18 19:00:00+00:00
15,Sell,10022.092855037403,221.4,2024-09-18 20:00:00+00:00
16,Buy,10022.092855037403,221.4,2024-09-18 20:00:00+00:00
17,Sell,10061.022393679372,230.0,2024-09-20 13:00:00+00:00
18,Sell,10061.022393679372,230.0,2024-09-20 13:00:00+00:00
19,Sell,10069.093083382128,231.845,2024-09-20 16:00:00+00:00
20,Buy,10069.093083382128,231.845,2024-09-20 16:00:00+00:00
21,Sell,10063.968310435379,230.665,2024-09-20 17:00:00+00:00
22,Sell,10063.968310435379,230.665,2024-09-20 17:00:00+00:00
23,Sell,10067.524174642349,231.48,2024-09-20 18:00:00+00:00
24,Buy,10067.524174642349,231.48,2024-09-20 18:00:00+00:00
25,Sell,10051.825308536945,227.8704,2024-09-20 21:00:00+00:00
26,Sell,10051.825308536943,227.8704,2024-09-20 21:00:00+00:00
27,Sell,10051.735320001226,227.85,2024-09-20 22:00:00+00:00
28,Buy,10051.735320001226,227.85,2024-09-20 22:00:00+00:00
29,Sell,10051.338279764754,227.76,2024-09-20 23:00:00+00:00
30,Sell,10051.338279764754,227.76,2024-09-20 23:00:00+00:00
31,Sell,10051.073492138838,227.7,2024-09-23 08:00:00+00:00
32,Buy,10051.073492138838,227.7,2024-09-23 08:00:00+00:00
33,Sell,10053.58957114214,228.27,2024-09-23 11:00:00+00:00
34,Sell,10053.58957114214,228.27,2024-09-23 11:00:00+00:00
35,Sell,10048.874817720354,227.1995,2024-09-23 12:00:00+00:00
36,Buy,10048.874817720354,227.1995,2024-09-23 12:00:00+00:00
37,Sell,10045.559831694469,226.45,2024-09-23 19:00:00+00:00
38,Sell,10045.559831694469,226.45,2024-09-23 19:00:00+00:00
39,Sell,10044.850054890287,226.29,2024-09-23 20:00:00+00:00
40,Buy,10044.850054890287,226.29,2024-09-23 20:00:00+00:00
41,Sell,10053.106460874686,228.15,2024-09-24 09:00:00+00:00
42,Sell,10053.106460874686,228.15,2024-09-24 09:00:00+00:00
