,Action,Portfolio,Timestamp
0,Buy,10000.0,2024-05-10 16:00:00+00:00
1,Buy,9999.07500267029,2024-05-10 17:00:00+00:00
2,Buy,9999.839979909064,2024-05-10 18:00:00+00:00
3,Buy,10005.493679212928,2024-05-10 19:00:00+00:00
4,Buy,10006.855399801136,2024-05-10 20:00:00+00:00
5,Buy,9998.655387415292,2024-05-10 21:00:00+00:00
6,Buy,10002.565373363497,2024-05-10 22:00:00+00:00
7,Buy,10004.385421234372,2024-05-10 23:00:00+00:00
8,Sell,9995.425416811708,2024-05-13 08:00:00+00:00
9,Buy,9995.425416811708,2024-05-13 09:00:00+00:00
10,Buy,9997.125432937744,2024-05-13 10:00:00+00:00
11,Buy,9999.645419172648,2024-05-13 11:00:00+00:00
12,Buy,10001.595429168347,2024-05-13 12:00:00+00:00
13,Buy,10003.635439625385,2024-05-13 13:00:00+00:00
14,Buy,9997.535438004139,2024-05-13 14:00:00+00:00
15,Buy,10018.115770299439,2024-05-13 15:00:00+00:00
16,Buy,10017.340969411138,2024-05-13 16:00:00+00:00
17,Buy,10038.761079210046,2024-05-13 17:00:00+00:00
18,Buy,10037.714053386453,2024-05-13 18:00:00+00:00
19,Buy,10038.830880931619,2024-05-13 19:00:00+00:00
20,Buy,10020.810838961605,2024-05-13 20:00:00+00:00
21,Buy,10019.935782593493,2024-05-13 21:00:00+00:00
22,Buy,10016.335870870356,2024-05-13 22:00:00+00:00
23,Buy,10019.665887939935,2024-05-13 23:00:00+00:00
24,Buy,10015.485753853325,2024-05-14 08:00:00+00:00
25,Buy,10049.025867967013,2024-05-14 09:00:00+00:00
26,Buy,10049.825812773113,2024-05-14 10:00:00+00:00
27,Buy,10050.645756199365,2024-05-14 11:00:00+00:00
28,Buy,10027.965826720003,2024-05-14 12:00:00+00:00
29,Buy,10020.225787044768,2024-05-14 13:00:00+00:00
30,Sell,10182.14576913238,2024-05-17 08:00:00+00:00
31,Buy,10182.145769132381,2024-05-17 09:00:00+00:00
32,Buy,10182.995766077642,2024-05-17 10:00:00+00:00
33,Buy,10182.725764693621,2024-05-17 11:00:00+00:00
34,Buy,10184.025732815866,2024-05-17 12:00:00+00:00
35,Buy,10186.35990576506,2024-05-17 13:00:00+00:00
36,Buy,10195.21382010937,2024-05-17 14:00:00+00:00
37,Buy,10185.208871107105,2024-05-17 15:00:00+00:00
38,Buy,10175.198896878961,2024-05-17 16:00:00+00:00
39,Buy,10185.528110810521,2024-05-17 17:00:00+00:00
40,Buy,10181.36108678222,2024-05-17 18:00:00+00:00
41,Buy,10186.602690881495,2024-05-17 19:00:00+00:00
42,Buy,10185.113507440094,2024-05-17 20:00:00+00:00
43,Buy,10188.963475292328,2024-05-17 21:00:00+00:00
44,Buy,10187.523414545658,2024-05-17 22:00:00+00:00
45,Buy,10187.52341454566,2024-05-17 23:00:00+00:00
46,Sell,10184.483455292586,2024-05-20 08:00:00+00:00
47,Buy,10184.483455292586,2024-05-20 09:00:00+00:00
48,Buy,10178.283438335066,2024-05-20 10:00:00+00:00
49,Buy,10178.823441103104,2024-05-20 11:00:00+00:00
50,Buy,10182.723461094502,2024-05-20 12:00:00+00:00
51,Buy,10186.803482008581,2024-05-20 13:00:00+00:00
52,Buy,10219.60344260991,2024-05-20 14:00:00+00:00
53,Buy,10232.943442801836,2024-05-20 15:00:00+00:00
54,Buy,10227.61349256337,2024-05-20 16:00:00+00:00
55,Buy,10237.133458350305,2024-05-20 17:00:00+00:00
56,Buy,10233.983442203406,2024-05-20 18:00:00+00:00
57,Buy,10223.40431889713,2024-05-20 19:00:00+00:00
58,Buy,10220.024663268927,2024-05-20 20:00:00+00:00
59,Buy,10224.224684798124,2024-05-20 21:00:00+00:00
60,Buy,10223.144679262045,2024-05-20 22:00:00+00:00
61,Buy,10221.294724626543,2024-05-20 23:00:00+00:00
62,Buy,10223.954625601771,2024-05-21 08:00:00+00:00
63,Buy,10209.134607446793,2024-05-21 09:00:00+00:00
64,Buy,10207.534717834595,2024-05-21 10:00:00+00:00
65,Buy,10225.984630078081,2024-05-21 11:00:00+00:00
66,Buy,10238.584694665673,2024-05-21 12:00:00+00:00
67,Buy,10232.994602269533,2024-05-21 13:00:00+00:00
68,Sell,10202.194574837093,2024-05-22 22:00:00+00:00
69,Buy,10202.194574837093,2024-05-23 09:00:00+00:00
70,Buy,10202.444590942268,2024-05-23 10:00:00+00:00
71,Buy,10202.624578523639,2024-05-23 11:00:00+00:00
72,Buy,10207.824566637282,2024-05-23 12:00:00+00:00
73,Buy,10209.014597937468,2024-05-23 13:00:00+00:00
74,Buy,10171.01455138624,2024-05-23 14:00:00+00:00
75,Buy,10155.029605824951,2024-05-23 15:00:00+00:00
76,Buy,10179.989618145231,2024-05-23 16:00:00+00:00
77,Buy,10154.929572700265,2024-05-23 17:00:00+00:00
78,Buy,10119.079611288313,2024-05-23 18:00:00+00:00
79,Buy,10108.679510542159,2024-05-23 19:00:00+00:00
80,Buy,10096.439599001413,2024-05-23 20:00:00+00:00
81,Buy,10098.59961007357,2024-05-23 21:00:00+00:00
82,Buy,10100.079507964854,2024-05-23 22:00:00+00:00
83,Sell,10111.095790345673,2024-05-23 23:00:00+00:00
84,Buy,10111.095790345673,2024-05-24 09:00:00+00:00
85,Buy,10109.445804123285,2024-05-24 10:00:00+00:00
86,Buy,10111.965790358188,2024-05-24 11:00:00+00:00
87,Buy,10107.545806242826,2024-05-24 12:00:00+00:00
88,Buy,10110.775772399309,2024-05-24 13:00:00+00:00
89,Buy,10121.775769490603,2024-05-24 14:00:00+00:00
90,Buy,10144.5481364435,2024-05-24 15:00:00+00:00
91,Buy,10155.85553505123,2024-05-24 16:00:00+00:00
92,Buy,10160.895560886267,2024-05-24 17:00:00+00:00
93,Buy,10152.495473356847,2024-05-24 18:00:00+00:00
94,Buy,10156.815495501165,2024-05-24 19:00:00+00:00
95,Buy,10149.675458901529,2024-05-24 20:00:00+00:00
96,Buy,10149.675458901529,2024-05-24 21:00:00+00:00
97,Buy,10149.31556378663,2024-05-24 22:00:00+00:00
98,Buy,10153.015473057632,2024-05-24 23:00:00+00:00
99,Buy,10147.69550211728,2024-05-28 08:00:00+00:00
100,Buy,10316.955444746618,2024-05-28 09:00:00+00:00
101,Buy,10325.355487805013,2024-05-28 10:00:00+00:00
102,Buy,10292.555562780504,2024-05-28 11:00:00+00:00
103,Buy,10284.155581981544,2024-05-28 12:00:00+00:00
104,Buy,10261.795594847801,2024-05-28 13:00:00+00:00
105,Sell,10137.275478351716,2024-05-29 08:00:00+00:00
106,Buy,10137.275478351716,2024-05-29 09:00:00+00:00
107,Buy,10137.575479889516,2024-05-29 10:00:00+00:00
108,Buy,10139.915478543047,2024-05-29 11:00:00+00:00
109,Buy,10143.555516472463,2024-05-29 12:00:00+00:00
110,Buy,10148.825493085984,2024-05-29 13:00:00+00:00
111,Buy,10178.525467444066,2024-05-29 14:00:00+00:00
112,Buy,10187.601274417048,2024-05-29 15:00:00+00:00
113,Buy,10168.540663816337,2024-05-29 16:00:00+00:00
114,Buy,10181.065145449047,2024-05-29 17:00:00+00:00
115,Buy,10177.651104823952,2024-05-29 18:00:00+00:00
116,Buy,10159.731060401802,2024-05-29 19:00:00+00:00
117,Buy,10130.831164262896,2024-05-29 20:00:00+00:00
118,Buy,10110.881061999207,2024-05-29 21:00:00+00:00
119,Buy,10136.081084443931,2024-05-29 22:00:00+00:00
120,Buy,10117.951101204757,2024-05-29 23:00:00+00:00
121,Buy,10127.071147953873,2024-05-30 08:00:00+00:00
122,Buy,10136.8210823077,2024-05-30 09:00:00+00:00
123,Buy,10140.821162106398,2024-05-30 10:00:00+00:00
124,Buy,10147.38107417882,2024-05-30 11:00:00+00:00
125,Buy,10123.861015874749,2024-05-30 12:00:00+00:00
126,Buy,10135.041009441617,2024-05-30 13:00:00+00:00
