,Action,Portfolio,Price,Timestamp
0,Buy,10000.0,184.09999991193413,2024-05-02 22:00:00+00:00
1,Buy,9997.099999791772,183.5199998702884,2024-05-02 23:00:00+00:00
2,Buy,9996.560000263868,183.45999992274344,2024-05-03 08:00:00+00:00
3,Buy,9993.180003218837,183.20000015004874,2024-05-03 09:00:00+00:00
4,Buy,9991.98999959515,183.1299999368906,2024-05-03 10:00:00+00:00
5,Buy,10003.590000428063,183.70999997853636,2024-05-03 11:00:00+00:00
6,Buy,10000.830002840998,183.5900000834465,2024-05-03 12:00:00+00:00
7,Buy,10045.289999638033,185.29999996025563,2024-05-03 13:00:00+00:00
8,Buy,10012.110001758829,184.11500003599824,2024-05-03 14:00:00+00:00
9,Buy,10032.360004631919,184.79000013176798,2024-05-03 15:00:00+00:00
10,Buy,10026.120005697556,184.5950001650691,2024-05-03 16:00:00+00:00
11,Buy,10031.56000094163,184.75500002518893,2024-05-03 17:00:00+00:00
12,Buy,10042.360011253328,185.055000311625,2024-05-03 18:00:00+00:00
13,Buy,10053.459981246819,185.35499950063826,2024-05-03 19:00:00+00:00
14,Buy,9978.790010037841,183.39000025829674,2024-05-03 20:00:00+00:00
15,Buy,9995.560006076523,183.82000015672446,2024-05-03 21:00:00+00:00
16,Buy,9996.759994053193,183.8499998561412,2024-05-03 22:00:00+00:00
17,Buy,9999.219991902533,183.90999980368613,2024-05-03 23:00:00+00:00
18,Buy,9993.760008198886,183.7800001916945,2024-05-06 08:00:00+00:00
19,Buy,9890.560004043238,181.38000009505154,2024-05-06 09:00:00+00:00
20,Buy,9903.320004959445,181.67000011587442,2024-05-06 10:00:00+00:00
21,Sell,11313.17006872722,213.0000015329361,2024-06-13 12:00:00+00:00
22,Buy,11313.17006872722,214.73000084354877,2024-06-13 14:00:00+00:00
23,Buy,11303.820574857082,212.86010206952096,2024-06-13 15:00:00+00:00
24,Buy,11311.739639513293,213.73999814243317,2024-06-13 16:00:00+00:00
25,Buy,11292.96766876458,212.29600039253233,2024-06-13 17:00:00+00:00
26,Buy,11299.728596761479,212.69370203940866,2024-06-13 18:00:00+00:00
27,Buy,11325.454558522477,213.98000012745857,2024-06-13 19:00:00+00:00
28,Buy,11328.904561816493,214.13000027067662,2024-06-13 20:00:00+00:00
29,Buy,11343.404590293208,214.71000140974522,2024-06-13 21:00:00+00:00
30,Buy,11337.734513766565,214.49999857542514,2024-06-13 22:00:00+00:00
31,Buy,11334.254612284745,214.3800019726038,2024-06-13 23:00:00+00:00
32,Buy,11341.07455529219,214.6000001341343,2024-06-14 08:00:00+00:00
33,Buy,11328.864611235489,214.23000182938574,2024-06-14 09:00:00+00:00
34,Sell,11310.84452438046,213.69999927482604,2024-06-14 10:00:00+00:00
35,Buy,11310.84452438046,213.74990128612518,2024-06-14 14:00:00+00:00
36,Buy,11307.652516416325,213.11149969329833,2024-06-14 15:00:00+00:00
37,Buy,11302.599009352567,212.5499989084363,2024-06-14 16:00:00+00:00
38,Buy,11297.789031390836,212.18000060368774,2024-06-14 17:00:00+00:00
39,Buy,11301.019014574864,212.36999961451292,2024-06-14 18:00:00+00:00
40,Buy,11296.919042851307,212.1650010283351,2024-06-14 19:00:00+00:00
41,Buy,11305.084013627411,212.51999975773094,2024-06-14 20:00:00+00:00
42,Buy,11304.304035709072,212.49000060702562,2024-06-14 21:00:00+00:00
43,Buy,11307.3840099705,212.59999968779087,2024-06-14 22:00:00+00:00
44,Buy,11310.08406522472,212.69000152959825,2024-06-14 23:00:00+00:00
45,Buy,11302.08401076305,212.43999982767104,2024-06-17 08:00:00+00:00
46,Buy,11356.48396320379,214.03999842886924,2024-06-17 09:00:00+00:00
47,Sell,11348.084047367098,213.8000008335352,2024-06-17 10:00:00+00:00
48,Buy,11348.084047367098,213.549999131608,2024-06-17 14:00:00+00:00
49,Buy,11364.73405887461,216.88000143311024,2024-06-17 15:00:00+00:00
50,Buy,11359.919037157515,216.34499902009964,2024-06-17 16:00:00+00:00
51,Buy,11369.396042782071,217.07399945275785,2024-06-17 17:00:00+00:00
52,Buy,11383.25047057214,217.93990118963717,2024-06-17 18:00:00+00:00
53,Buy,11397.817753510073,218.7066002916336,2024-06-17 19:00:00+00:00
54,Buy,11353.892587928083,216.71000185608864,2024-06-17 20:00:00+00:00
55,Buy,11350.642570192722,216.58000114667414,2024-06-17 21:00:00+00:00
56,Buy,11363.332566506078,217.05000101013184,2024-06-17 22:00:00+00:00
57,Buy,11356.662500730494,216.8199987420082,2024-06-17 23:00:00+00:00
58,Buy,11354.802553386762,216.76000044059754,2024-06-18 08:00:00+00:00
59,Buy,11359.4225674552,216.90000086691379,2024-06-18 09:00:00+00:00
60,Sell,11403.62251015711,218.1999991816759,2024-06-18 10:00:00+00:00
61,Buy,11403.62251015711,214.66660053133964,2024-06-18 14:00:00+00:00
62,Buy,11407.76451317537,215.49500113499164,2024-06-18 15:00:00+00:00
63,Buy,11390.619484953382,213.58999799921511,2024-06-18 16:00:00+00:00
64,Buy,11398.549488720444,214.19999828898906,2024-06-18 17:00:00+00:00
65,Buy,11387.924491013291,213.57499842386244,2024-06-18 18:00:00+00:00
66,Buy,11393.724502403977,213.86499899339674,2024-06-18 19:00:00+00:00
